name,evidence,condition,category,onetowatch,type,popularity,source,url,ignore,url of 2nd key study,key study source abstract (or summary notes),key study source abstract (or summary notes),key study source abstract (or summary notes),,,#,,,
beta-glucans,0,cancer,cancer,OTW,compound,0.31,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19515245,,,"""So far, no good quality clinical trial data is available on assessing the effectiveness of purified beta-glucans among cancer patients. Future effort should direct at performing well-designed clinical trials to verify the actual clinical efficacy of beta-glucans or beta-glucans containing compounds."" Chan et al (2009). PMID: 19515245.",,,,,,,,
bitter melon,0,diabetes,diabetes,,plant / herb,0.126,PubMed,,,,No human studies,,,,,#,,,
bitter orange,0,,,,plant / herb,0.118,,,,,No human studies,,,,,#,,,
black cohosh,1,menopause,women,,plant / herb,0.386,,http://informahealthcare.com/doi/abs/10.1080/09513590400020922,,,An isopropanolic aqueous extract of Cimicifuga racemosa (40 mg/day) was found to be a valid alternative to low-dose transdermal estradiol in the management of climacteric complaints in 64 postmenopausal women who cannot be treated with or who refuse conventional strategies. Nappi et al (2005).,,,,,#,,,
black tea,1,cancer,cancer,,plant / herb,0.395,MedlinePlus,http://www.nlm.nih.gov/medlineplus/druginfo/natural/patient-black_tea.html,,http://www.ncbi.nlm.nih.gov/pubmed/21538852,"""Several studies have explored a possible association between regular consumption of black tea and rates of cancer in populations. This research has yielded conflicting results, with some studies suggesting benefits, and others reporting no effects. Laboratory and animal studies report that components of tea, such as polyphenols, have antioxidant properties and effects against tumors. However, effects in humans remain unclear, and these components may be more common in green tea rather than in black tea. Some animal and laboratory research suggests that components of black tea may be carcinogenic, although effects in humans are not clear. Overall, the relationship of black tea consumption and human cancer remains undetermined.""",,,,,#,,,
black tea,1.5,"heart disease, stress","mental health, cardio",,plant / herb,0.395,,http://www.nlm.nih.gov/medlineplus/druginfo/natural/patient-black_tea.html,,,"""Based on early research, black tea may reduce stress and help patients feel more relaxed. More research is needed to confirm these findings. It should be noted that high doses of caffeine have been linked to anxiety.""",,,,,#,,,
borage seed oil,1.5,rheumatism,musculoskeletal,,plant / herb,0.362,,http://www.ncbi.nlm.nih.gov/pubmed/8214997?dopt=Abstract,,,"1.4 g/d GLA in borage seed oil reduced the number of tender joints by 36% for 37 rheumatism patients in a randomized, double-blind, placebo-controlled, 24-week trial. Leventhal et al (1993). PMID: 8214997.",,,,,#,,,
boron,1,menopause,women,,mineral,0.667,,deadlink,X,,"Neilsen FH, Hunt CE, Mullen LM & Hunt JR: Effect of dietary boron on mineral, estrogen and testosterone metabolism in postmenopausal women. FASED J 1987;1:394-397","not properly understood yet - ""Boron"". PDRhealth. http://www.pdrhealth.com/drug_info/nmdrugprofiles/nutsupdrugs/bor_0040.shtml. ",,,,#,,,
bromelain,2,arthritis,musculoskeletal,,enzyme,0.44,,http://www.ncbi.nlm.nih.gov/pubmed/15841258,,,"""All previous trials, which have been uncontrolled or comparative studies, indicate its potential use for the treatment of osteoarthritis. [...] The data available at present indicate the need for trials to establish the efficacy and optimum dosage for bromelain and the need for adequate prospective adverse event monitoring in such chronic conditions as osteoarthritis."" Brien et al (2004). 'Bromelain as a Treatment for Osteoarthritis: a Review of Clinical Studies.' Evidence-Based Complementary and Alternative Medicine: eCAM. 1/3, 251–57. PMID 15841258. 
",,,,,#,,,
calcium,3,colorectal cancer,cancer,,mineral,0.638,,http://www.ncbi.nlm.nih.gov/pubmed/9887161,,http://www.ncbi.nlm.nih.gov/pubmed/11073017,"""We randomly assigned 930 subjects (mean age, 61 years; 72 percent men) with a recent history of colorectal adenomas to receive either calcium carbonate (3 g [1200 mg of elemental calcium] daily) or placebo, with follow-up colonoscopies one and four years after the qualifying examination. [...] CONCLUSIONS: Calcium supplementation is associated with a significant - though moderate - reduction in the risk of recurrent colorectal adenomas."" Baron et al (1999). 'Calcium supplements for the prevention of colorectal adenomas. Calcium Polyp Prevention Study Group', N. Engl. J. Med. 340/2, 101–7. PMID: 9887161.","""We randomly assigned 665 patients with a history of colorectal adenomas to three treatment groups, in a parallel design: calcium gluconolactate and carbonate (2 g elemental calcium daily), fibre (3.5 g ispaghula husk), or placebo. Participants had colonoscopy after 3 years of follow-up. The primary endpoint was adenoma recurrence. [...] Calcium supplementation was associated with a modest but not significant reduction in the risk of adenoma recurrence."" Bonithon-Kopp et al (2000). 'Calcium and fibre supplementation in prevention of colorectal adenoma recurrence: a randomised intervention trial', European Cancer Prevention Organisation Study Group"". Lancet 356/9238, 1300–06. PMID 11073017. ",,,,#,,,
calcium,3.5,osteoporosis in postmenopausal women,"musculoskeletal, women",,mineral,5.98,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/21289325,,http://www.ncbi.nlm.nih.gov/pubmed/18412990,"""Results of recent clinical trials indicate that calcium supplementation does not significantly reduce fracture risk in postmenopausal women. However, evidence from the same studies suggests that beneficial effects on fracture risk may be seen in women who are adherent to therapy. Postmenopausal women should continue calcium supplementation to reduce osteoporosis risk."" Spangler et al (2011). 'Calcium supplementation in postmenopausal women to reduce the risk of osteoporotic fractures.' Am. J. Health Sys. Pharm, 68/4, 309-18. PMID: 21289325.","""Ca supplements appear to be effective in reducing bone loss in women late post menopause (>5 years post menopause), particularly in those with low habitual Ca intake (<400 mg/d). In women early post menopause (<5 years post menopause) who are not vitamin D deficient, Ca supplementation has little effect on bone mineral density. However, supplementation with vitamin D and Ca has been shown to reduce fracture rates in the institutionalised elderly, but there remains controversy as to whether supplementation is effective in reducing fracture in free-living populations."" Lanham-New (2008). PMID: 18412990.",,,,,,,
calcium + vit. D,4,"breast cancer in premenopausal women, cancer","cancer, women",,mineral,4.11,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17533208,,http://www.ncbi.nlm.nih.gov/pubmed/17556697.,"""METHODS: We prospectively evaluated total calcium and vitamin D intake in relation to breast cancer incidence among 10,578 premenopausal and 20,909 postmenopausal women 45 years or older who were free of cancer and cardiovascular disease at baseline in the Women's Health Study. [...] CONCLUSIONS: Findings from this study suggest that higher intakes of calcium and vitamin D may be associated with a lower risk of developing premenopausal breast cancer. The likely apparent protection in premenopausal women may be more pronounced for more aggressive breast tumors."" Lin et al (2007). 'Intakes of calcium and vitamin d and breast cancer risk in women.' Arch. Intern. Med. 167/10, 1050–59. PMID 17533208.","""This was a 4-y, population-based, double-blind, randomized placebo-controlled trial. The primary outcome was fracture incidence, and the principal secondary outcome was cancer incidence. The subjects were 1179 community-dwelling women randomly selected from the population of healthy postmenopausal women aged >55 y in a 9-county rural area of Nebraska centered at latitude 41.4 degrees N. Subjects were randomly assigned to receive 1400-1500 mg supplemental calcium/d alone (Ca-only), supplemental calcium plus 1100 IU vitamin D3/d (Ca + D), or placebo. [...] CONCLUSIONS:  Improving calcium and vitamin D nutritional status substantially reduces all-cancer risk in postmenopausal women."" Lappe et al (2007). 'Vitamin D and calcium supplementation reduces cancer risk: results of a randomized trial', Am. J. Clin. Nutr. 85/6, 1586–91. PMID 17556697. ",,,,,,,
capsaicin,0,cancer,cancer,,plant / herb,0.48,no human trials,,X,,,,,,,,,,
cat's claw,0,"cancer, viruses, immune system","cancer, infections",,plant / herb,0.044,PubMed,,,,no human supplementation trials,,,,,#,,,
chamomile,0,bowel disorders,digestion,,plant / herb,0.398,,,,,no evidence,,,,,#,,,
chasteberry,0,,,,plant / herb,0.053,,,X,,no evidence,,,,,#,,,
chromium,1,diabetes,diabetes,,mineral,0.1,,http://www.ajcn.org/content/76/1/148.full,,,"""Conclusions: Data from RCTs show no effect of chromium on glucose or insulin concentrations in nondiabetic subjects. The data for persons with diabetes are inconclusive. RCTs in well-characterized, at-risk populations are necessary to determine the effects of chromium on glucose, insulin, and Hb A1c."" Althius et al (2002). 'Glucose and insulin responses to dietary chromium supplements: a meta-analysis.' American Journal of Clinical Nutrition 76/1, 148-55.",,,,,#,,,
chrondroitin,0,arthritis,musculoskeletal,,compound,1.01,,,X,,no evidence,,,,,#,,,
cinnamon,3,type 2 diabetes,diabetes,,plant / herb,1.15,,http://www.ncbi.nlm.nih.gov/pubmed/17381386,,http://www.ncbi.nlm.nih.gov/pubmed/14633804,"""We found two prospective, randomized, double-blind, placebo-controlled, peer-reviewed clinical trials and one prospective, placebo-controlled, peer-reviewed clinical trial that evaluated the efficacy of cinnamon supplementation in patients with type 2 diabetes; a total of 164 patients were involved in these trials. Two of the studies reported modest improvements in lowering blood glucose levels with cinnamon supplementation in small patient samples. One trial showed no significant difference between cinnamon and placebo in lowering blood glucose levels. Overall, cinnamon was well tolerated. These data suggest that cinnamon has a possible modest effect in lowering plasma glucose levels in patients with poorly controlled type 2 diabetes. However, clinicians are strongly urged to refrain from recommending cinnamon supplementation in place of the proven standard of care, which includes lifestyle modifications, oral antidiabetic agents, and insulin therapy."" Pham et al (2007). 'Cinnamon supplementation in patients with type 2 diabetes mellitus.' Pharmacotherapy 27/4, 595-59. PMID: 17381386.","""The results of this study [60 subjects with type 2 diabetes, 30 men, 30 women] demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 diabetes and suggest that the inclusion of cinnamon in the diet of people with type 2 diabetes will reduce risk factors associated with diabetes and cardiovascular diseases."" Khan et al (2003). 'Cinnamon improves glucose and lipids of people with type 2 diabetes.' Diabetes Care 26/12, 3215–38. PMID 14633804.","""Whilst definitive conclusions cannot be drawn regarding the use of cinnamon as an antidiabetic therapy, it does possess antihyperglycaemic properties and potential to reduce postprandial blood glucose levels. Further research is required to confirm a possible correlation between baseline FBG and blood glucose reduction and to assess the potential to reduce pathogenic diabetic complications with cinnamon supplementation."" Kirkham et al (2009). 'The potential of cinnamon to reduce blood glucose levels in patients with type 2 diabetes and insulin resistance.' Diabetes Obes. Metab. 11/12, 1100-13. PMID: 19930003. http://www.ncbi.nlm.nih.gov/pubmed/19930003. ",,,#,,,
coconut oil,3,"obesity, cholesterol","cardio, general health",,plant / herb,7.97,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19437058,,http://www.ncbi.nlm.nih.gov/pubmed/14608053,"This study of 40 women aged 20-40 tested the effect of daily coconut oil vs soy bean oil, while following a balanced diet and exercising. ""Energy intake and amount of carbohydrate ingested by both groups diminished over the trial, whereas the consumption of protein and fibre increased and lipid ingestion remained unchanged. At [1 week before intervention] there were no differences in biochemical or anthropometric characteristics between the groups, whereas at  [1 week after intervention] group C [coconut group] presented a higher level of HDL and a lower LDL:HDL ratio. Reductions in BMI were observed in both groups at T2, but only group C exhibited a reduction in [waist circumference]. Group S [soy bean oil] presented an increase in total cholesterol, LDL and LDL:HDL ratio, whilst HDL diminished. Such alterations were not observed in group C. It appears that dietetic supplementation with coconut oil does not cause dyslipidemia and seems to promote a reduction in abdominal obesity."" Assunçao et al (2009). 'Effects of dietary coconut oil on the biochemical and anthropometric profiles of women presenting abdominal obesity.' Lipids 44/7, 593-601. PMID: 19437058.","""This controlled crossover study compared the effects of a high fat diet, a low fat diet, both based on coconut oil, and a diet with a high content of monounsaturated fatty acids (MUFA) and PUFA on diurnal postprandial levels of some hemostatic variables (n = 11) and fasting levels of Lp(a) (n = 25). In conclusion, our results indicate that a coconut oil-based diet lowers postprandial t-PA antigen concentration, and this may favorably affect the fibrinolytic system and the Lp(a) concentration compared with the HUFA-diet. The proportions of dietary saturated fatty acids more than the percentage of saturated fat energy seem to have a beneficial influence on Lp(a) levels."" Müller et al (2003). PMID: 14608053.",,,,,,,
collagen,0,,,,compound,0.271,,,,,no evidence,,,,,#,,,
copper  ,0,,,,mineral,2.41,,,,,no evidence,,  ,,,#,,,
CoQ10,4,blood pressure,cardio,,enzyme,0.377,Human Hypertension,http://www.nature.com/jhh/journal/v21/n4/full/1002138a.html,,,"""We conclude that coenzyme Q10 has the potential in hypertensive patients to lower systolic blood pressure by up to 17 mm Hg and diastolic blood pressure by up to 10 mm Hg without significant side effects."" Rosenfeldt et al (2007). 'Coenzyme Q10 in the treatment of hypertension: a meta-analysis of the clinical trials Coenzyme Q10 and hypertension.' Journal of Human Hypertension 21, 297-306.",,,,,#,,,
CoQ10,1,heart disease,cardio,,enzyme,0.377,American Family Physician,http://www.aafp.org/afp/2005/0915/p1065.html,,,"""The evidence is too inconsistent to recommend use of coenzyme Q10 in symptomatic treatment of congestive heart failure."" Bonakdar and Guarneri (2005). 'Coenzyme Q10.' Am. Fam. Physician 72/6,1065-70.",,,,,#,,,
CoQ10,0,diabetes,diabetes,,enzyme,0.377,American Family Physician,http://www.aafp.org/afp/2005/0915/p1065.html,,,"""Data are insufficient to recommend use of coenzyme Q10 for improved glycemic control in diabetes mellitus."" Bonakdar and Guarneri (2005). 'Coenzyme Q10'. Am. Fam. Physician 72/6,1065-70.",,,,,#,,,
CoQ10,2,migraine,pain,,enzyme,0.377,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/15728298,,,"In a study of 42 patients, CoQ10 was superior to placebo for attack-frequency, headache-days and days-with-nausea in the third treatment month and well tolerated. Sándor et al (2005). PMID: 15728298.",,,,,#,,,
cranberry juice,2,"urinary tract infections, kidney stones",urinary,,plant / herb,1.53,Cochrane Review,http://www2.cochrane.org/reviews/en/ab001321.html,,http://www.efsa.europa.eu/en/efsajournal/pub/943.htm,"""This review identified 10 studies (1049 participants) comparing cranberry products with placebo, juice or water. There was some evidence to show that cranberries (juice and capsules) can prevent recurrent infections in women. However, the evidence for elderly men and women was less clear, and there is evidence that is not effective in people who need catheterisation. Many people in the trials stopped drinking the juice, suggesting it may not be a popular intervention. In addition it is not clear how long cranberry juice needs to be taken to be effective or what the required dose might be."" Jepson and Craig (2008).  'Cranberries for preventing urinary tract infections. Cochrane Database of Systematic Reviews 1. CD001321.","""The Panel concludes that the evidence provided is not sufficient to establish a cause and effect relationship between the consumption of Ocean Spray cranberry products® and the reduction of the risk of UTI in women by inhibiting the adhesion of certain bacteria in the urinary tract.""","""Nine trials of cranberry products met the inclusion criteria. In four good quality randomised controlled trials (RCTs), cranberry products significantly reduced the incidence of symptomatic UTIs in 12 months compared with placebo/control. Five trials were not included in the meta-analyses due to the lack of appropriate data. However, only one reported a significant result. Side effects were common, and losses to followup/withdrawals in several of the trials were high (> 40%). There is some evidence from four good quality RCTs that cranberry juice may decrease the number of symptomatic UTIs over a 12-month period, particularly in women with recurrent UTIs. It is uncertain whether it is effective in other susceptible groups.""","""CONCLUSION: Cranberry juice has antilithogenic properties and, as such, deserves consideration as a conservative therapeutic protocol in managing calcium oxalate urolithiasis."" McHarg et al (2003). 'Influence of cranberry juice on the urinary risk factors for calcium oxalate kidney stone formation.' BJU Int.92/7, 765-68. PMID: 14616463. http://www.ncbi.nlm.nih.gov/pubmed/14616463.",,,,,
creatine,4,cognition,mental health,,compound,0.283,PubMed,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1691485/?tool=pubmed,,http://www.ncbi.nlm.nih.gov/pubmed/19773644,"""We tested the hypothesis that oral creatine supplementation (5 g d(-1) for six weeks) would enhance intelligence test scores and working memory performance in 45 young adult, vegetarian subjects in a double-blind, placebo-controlled, cross-over design. Creatine supplementation had a significant positive effect on both working memory (backward digit span) and intelligence (Raven's Advanced Progressive Matrices), both tasks that require speed of processing."" Rae et al (2003). 'Oral creatine monohydrate supplementation improves cognitive performance; a placebo-controlled, double-blind cross-over trial.' Proc. Biol. Sci. 270/1529, 2147-50. ","""This study used a new form of creatine--creatine ethyl ester--to investigate whether supplementation would improve performance in five cognitive tasks, using a double-blind, placebo-controlled study. Creatine dosing led to an improvement over the placebo condition on several measures. Although creatine seems to facilitate cognition on some tasks, these results require replication using objective measures of compliance."" Ling et al (2009). PMID: 19773644.","""The purpose of this study was to examine the effect of creatine supplementation on the cognitive performance of elderly people. [...] Results showed a significant effect of creatine supplementation on all tasks except backward number recall. It was concluded that creatine supplementation aids cognition in the elderly."" McMorris et al (2007). PMID: 17828627. http://www.ncbi.nlm.nih.gov/pubmed/17828627",,,#,,,
dandelion,0,,,,plant / herb,0.571,,,X,,n/a,,,,,#,,,
dark chocolate,4,blood pressure,cardio,,plant / herb,4.46,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20584271,,http://www.ncbi.nlm.nih.gov/pubmed/19910929,"""RESULTS: Fifteen trial arms of 13 assessed studies met the inclusion criteria. CONCLUSION: Our meta-analysis suggests that dark chocolate is superior to placebo in reducing systolic hypertension or diastolic prehypertension."" Ried et al (2010). 'Does chocolate reduce blood pressure? A meta-analysis.' BMC Med. 8/39. PMID: 20584271.","""10 randomized controlled trials comprising 297 individuals were included in the analysis.  [...] The meta-analysis confirms the BP-lowering capacity of flavanol-rich cocoa products in a larger set of trials than previously reported. However, significant statistical heterogeneity across studies could be found, and questions such as the most appropriate dose and the long-term side effect profile warrant further investigation before cocoa products can be recommended as a treatment option in hypertension."" Desch et al (2010). 'Effect of cocoa products on blood pressure: systematic review and meta-analysis.' Am. J. Hypertens. 23/1 97-103. PMID: 19910929.","""CONCLUSION: Current randomized dietary studies indicate that consumption of foods rich in cocoa may reduce blood pressure, while tea intake appears to have no effect."" Taubert et al (2007). 'Effect of cocoa and tea intake on blood pressure: a meta-analysis.' Arch. Int. Med. 167/7, 626-34. PMID: 17420419. http://www.ncbi.nlm.nih.gov/pubmed/17420419","""Collectively, our data demonstrate that the human ingestion of the flavanol (-)-epicatechin is, at least in part, causally linked to the reported vascular effects observed after the consumption of flavanol-rich cocoa. -)-Epicatechin mediates beneficial effects of flavanol-rich cocoa on vascular function in humans."" Schroeter et al (2006). '(-)-Epicatechin mediates beneficial effects of flavanol-rich cocoa on vascular function in humans.' PNAS 23/4, 1024-09. PMID: 16418281. http://www.ncbi.nlm.nih.gov/pubmed/16418281",,,,,
devil's claw,4,arthritis,musculoskeletal,,plant / herb,0.1,,http://www.ncbi.nlm.nih.gov/pubmed/14669250,,http://www.ncbi.nlm.nih.gov/pubmed/17212570,"The results of an open clinical study in 75 patients suggest that this Devil's claw extract has a clinically beneficial effect in the treatment of arthrosis of the hip or knee. Wegener and Lüpke (2003). 'Treatment of patients with arthrosis of hip or knee with an aqueous extract of devil's claw (Harpagophytum procumbens DC.).' Phytotherapy Res. 17/10, 1165-72. PMID: 14669250. ","""Fourteen studies were identified: eight observational studies; 2 comparator trials (1 open, the other randomized to assess clinical effectiveness); and 4 double-blinded, placebo-controlled, randomized controlled trials to assess efficacy. Many of the published trials lacked certain important methodological quality criteria. However, the data from the higher quality studies suggest that Devil's Claw appeared effective in the reduction of the main clinical symptom of pain. The assessment of safety is limited by the small populations generally evaluated in the clinical studies. From the current data, Devil's Claw appears to be associated with minor risk (relative to NSAIDs), but further long-term assessment is required."" Brien et al (2006). 'Devil's Claw (Harpagophytum procumbens) as a treatment for osteoarthritis: a review of efficacy and safety.' J. Altern. Complem. Med. 12/10, 981-93. PMID: 17212570.",,,,#,,,
DHEA,0,ageing,general health,,compound,1.04,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17050889,,,"""METHODS: We performed a 2-year, placebo-controlled, randomized, double-blind study involving 87 elderly men with low levels of the sulfated form of DHEA and bioavailable testosterone and 57 elderly women with low levels of sulfated DHEA. CONCLUSIONS: Neither DHEA nor low-dose testosterone replacement in elderly people has physiologically relevant beneficial effects on body composition, physical performance, insulin sensitivity, or quality of life. (ClinicalTrials.gov number, NCT00254371 [ClinicalTrials.gov].)."" Nair et al (2006). PMID: 17050889.",,,,,,,,
DHEA,1,memory in young men,"mental health, men",OTW,compound,0.86,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16231168,,,"""METHODS: Twenty-four healthy young men were treated with a 7-day course of oral DHEA (150 mg b.d.) or placebo in a double blind, random, crossover and balanced order design. CONCLUSIONS: DHEA treatment improved memory recollection and mood and decreased trough cortisol levels. These findings are distinctive, being the first to show such beneficial effects of DHEA on memory in healthy young men."" Alhaj et al (2006). PMID: 16231168.",,,,,,,,
